"","Rank","NOC","Gold","Silver","Bronze","Total","Year"
"633",20,"Netherlands",2,6,7,15,1992
"634",21,"Kenya",2,4,2,8,1992
"635",22,"Norway",2,4,1,7,1992
"636",23,"Turkey",2,2,2,6,1992
"637",24,"Indonesia",2,2,1,5,1992
"638",25,"Brazil",2,1,0,3,1992
"639",26,"Greece",2,0,0,2,1992
"640",27,"Sweden",1,7,4,12,1992
"641",28,"New Zealand",1,4,5,10,1992
"642",29,"Finland",1,2,2,5,1992
"643",30,"Denmark",1,1,4,6,1992
"644",31,"Morocco",1,1,1,3,1992
"645",32,"Ireland",1,1,0,2,1992
"646",33,"Ethiopia",1,0,2,3,1992
"647",34,"Algeria",1,0,1,2,1992
"648",34,"Estonia",1,0,1,2,1992
"649",34,"Lithuania",1,0,1,2,1992
"650",37,"Switzerland",1,0,0,1,1992
"651",38,"Jamaica",0,3,1,4,1992
"652",38,"Nigeria",0,3,1,4,1992
"653",40,"Latvia",0,2,1,3,1992
"654",41,"Austria",0,2,0,2,1992
"655",41,"Namibia",0,2,0,2,1992
"656",41,"South Africa",0,2,0,2,1992
"657",44,"Belgium",0,1,2,3,1992
"658",44,"Croatia",0,1,2,3,1992
"659",44,"Independent Olympic Participants",0,1,2,3,1992
"660",44,"Iran",0,1,2,3,1992
"661",48,"Israel",0,1,1,2,1992
"662",49,"Chinese Taipei",0,1,0,1,1992
"663",49,"Mexico",0,1,0,1,1992
"664",49,"Peru",0,1,0,1,1992
"665",52,"Mongolia",0,0,2,2,1992
"666",52,"Slovenia",0,0,2,2,1992
"667",54,"Argentina",0,0,1,1,1992
"668",54,"Bahamas",0,0,1,1,1992
"669",54,"Colombia",0,0,1,1,1992
"670",54,"Ghana",0,0,1,1,1992
"671",54,"Malaysia",0,0,1,1,1992
"672",54,"Pakistan",0,0,1,1,1992
"673",54,"Philippines",0,0,1,1,1992
"674",54,"Puerto Rico",0,0,1,1,1992
"675",54,"Qatar",0,0,1,1,1992
"676",54,"Suriname",0,0,1,1,1992
"677",54,"Thailand",0,0,1,1,1992
"678",1,"United States",44,32,25,101,1996
"679",2,"Russia",26,21,16,63,1996
"680",3,"Germany",20,18,27,65,1996
"681",4,"China",16,22,12,50,1996
"682",5,"France",15,7,15,37,1996
"683",6,"Italy",13,10,12,35,1996
"684",7,"Australia",9,9,23,41,1996
"685",8,"Cuba",9,8,8,25,1996
"686",9,"Ukraine",9,2,12,23,1996
"687",10,"South Korea",7,15,5,27,1996
"688",11,"Poland",7,5,5,17,1996
"689",12,"Hungary",7,4,10,21,1996
"690",13,"Spain",5,6,6,17,1996
"691",14,"Romania",4,7,9,20,1996
"692",15,"Netherlands",4,5,10,19,1996
"693",16,"Greece",4,4,0,8,1996
"694",17,"Czech Republic",4,3,4,11,1996
"695",18,"Switzerland",4,3,0,7,1996
"696",19,"Denmark",4,1,1,6,1996
"697",19,"Turkey",4,1,1,6,1996
"698",21,"Canada",3,11,8,22,1996
"699",22,"Bulgaria",3,7,5,15,1996
"700",23,"Japan",3,6,5,14,1996
"701",24,"Kazakhstan",3,4,4,11,1996
"702",25,"Brazil",3,3,9,15,1996
"703",26,"New Zealand",3,2,1,6,1996
"704",27,"South Africa",3,1,1,5,1996
"705",28,"Ireland",3,0,1,4,1996
"706",29,"Sweden",2,4,2,8,1996
"707",30,"Norway",2,2,3,7,1996
"708",31,"Belgium",2,2,2,6,1996
"709",32,"Nigeria",2,1,3,6,1996
"710",33,"North Korea",2,1,2,5,1996
"711",34,"Algeria",2,0,1,3,1996
"712",34,"Ethiopia",2,0,1,3,1996
"713",36,"Great Britain",1,8,6,15,1996
"714",37,"Belarus",1,6,8,15,1996
"715",38,"Kenya",1,4,3,8,1996
"716",39,"Jamaica",1,3,2,6,1996
"717",40,"Finland",1,2,1,4,1996
"718",41,"FR Yugoslavia",1,1,2,4,1996
"719",41,"Indonesia",1,1,2,4,1996
"720",43,"Iran",1,1,1,3,1996
"721",43,"Slovakia",1,1,1,3,1996
"722",45,"Armenia",1,1,0,2,1996
"723",45,"Croatia",1,1,0,2,1996
"724",47,"Portugal",1,0,1,2,1996
"725",47,"Thailand",1,0,1,2,1996
"726",49,"Burundi",1,0,0,1,1996
"727",49,"Costa Rica",1,0,0,1,1996
"728",49,"Ecuador",1,0,0,1,1996
"729",49,"Hong Kong",1,0,0,1,1996
"730",49,"Syria",1,0,0,1,1996
"731",54,"Argentina",0,2,1,3,1996
"732",55,"Namibia",0,2,0,2,1996
"733",55,"Slovenia",0,2,0,2,1996
"734",57,"Austria",0,1,2,3,1996
"735",58,"Malaysia",0,1,1,2,1996
"736",58,"Moldova",0,1,1,2,1996
"737",58,"Uzbekistan",0,1,1,2,1996
"738",61,"Azerbaijan",0,1,0,1,1996
"739",61,"Bahamas",0,1,0,1,1996
"740",61,"Chinese Taipei",0,1,0,1,1996
"741",61,"Latvia",0,1,0,1,1996
"742",61,"Philippines",0,1,0,1,1996
"743",61,"Tonga",0,1,0,1,1996
"744",61,"Zambia",0,1,0,1,1996
"745",68,"Georgia",0,0,2,2,1996
"746",68,"Morocco",0,0,2,2,1996
"747",68,"Trinidad and Tobago",0,0,2,2,1996
"748",71,"India",0,0,1,1,1996
"749",71,"Israel",0,0,1,1,1996
"750",71,"Lithuania",0,0,1,1,1996
"751",71,"Mexico",0,0,1,1,1996
"752",71,"Mongolia",0,0,1,1,1996
"753",71,"Mozambique",0,0,1,1,1996
"754",71,"Puerto Rico",0,0,1,1,1996
"755",71,"Tunisia",0,0,1,1,1996
"756",71,"Uganda",0,0,1,1,1996
"757",1,"United States",37,24,32,93,2000
"758",2,"Russia",32,28,29,89,2000
"759",3,"China",28,16,14,58,2000
"760",4,"Australia",16,25,17,58,2000
"761",5,"Germany",13,17,26,56,2000
"762",6,"France",13,14,11,38,2000
"763",7,"Italy",13,8,13,34,2000
"764",8,"Netherlands",12,9,4,25,2000
"765",9,"Cuba",11,11,7,29,2000
"766",10,"Great Britain",11,10,7,28,2000
"767",11,"Romania",11,6,9,26,2000
"768",12,"South Korea",8,10,10,28,2000
"769",13,"Hungary",8,6,3,17,2000
"770",14,"Poland",6,5,3,14,2000
"771",15,"Japan",5,8,5,18,2000
"772",16,"Bulgaria",5,6,2,13,2000
"773",17,"Greece",4,6,3,13,2000
"774",18,"Sweden",4,5,3,12,2000
"775",19,"Norway",4,3,3,10,2000
"776",20,"Ethiopia",4,1,3,8,2000
"777",21,"Ukraine",3,10,10,23,2000
"778",22,"Kazakhstan",3,4,0,7,2000
"779",23,"Belarus",3,3,11,17,2000
"780",24,"Canada",3,3,8,14,2000
"781",25,"Spain",3,3,5,11,2000
"782",26,"Turkey",3,0,2,5,2000
"783",27,"Iran",3,0,1,4,2000
"784",28,"Czech Republic",2,3,3,8,2000
"785",29,"Kenya",2,3,2,7,2000
"786",30,"Denmark",2,3,1,6,2000
"787",31,"Finland",2,1,1,4,2000
"788",32,"Austria",2,1,0,3,2000
"789",33,"Lithuania",2,0,3,5,2000
"790",34,"Azerbaijan",2,0,1,3,2000
"791",34,"Bahamas",2,0,1,3,2000
"792",36,"Slovenia",2,0,0,2,2000
"793",37,"Switzerland",1,6,2,9,2000
"794",38,"Indonesia",1,3,2,6,2000
"795",39,"Slovakia",1,3,1,5,2000
"796",40,"Mexico",1,2,3,6,2000
"797",41,"Nigeria",1,2,0,3,2000
"798",42,"Algeria",1,1,3,5,2000
"799",43,"Uzbekistan",1,1,2,4,2000
"800",44,"FR Yugoslavia",1,1,1,3,2000
"801",44,"Latvia",1,1,1,3,2000
"802",46,"New Zealand",1,0,3,4,2000
"803",47,"Estonia",1,0,2,3,2000
"804",47,"Thailand",1,0,2,3,2000
"805",49,"Croatia",1,0,1,2,2000
"806",50,"Cameroon",1,0,0,1,2000
"807",50,"Colombia",1,0,0,1,2000
"808",50,"Mozambique",1,0,0,1,2000
"809",53,"Brazil",0,6,6,12,2000
"810",54,"Jamaica",0,6,3,9,2000
"811",55,"Belgium",0,2,3,5,2000
"812",55,"South Africa",0,2,3,5,2000
"813",57,"Argentina",0,2,2,4,2000
"814",58,"Chinese Taipei",0,1,4,5,2000
"815",58,"Morocco",0,1,4,5,2000
"816",60,"North Korea",0,1,3,4,2000
"817",61,"Moldova",0,1,1,2,2000
"818",61,"Saudi Arabia",0,1,1,2,2000
"819",61,"Trinidad and Tobago",0,1,1,2,2000
"820",64,"Ireland",0,1,0,1,2000
"821",64,"Sri Lanka",0,1,0,1,2000
"822",64,"Uruguay",0,1,0,1,2000
"823",64,"Vietnam",0,1,0,1,2000
"824",68,"Georgia",0,0,6,6,2000
"825",69,"Costa Rica",0,0,2,2,2000
"826",69,"Portugal",0,0,2,2,2000
"827",71,"Armenia",0,0,1,1,2000
"828",71,"Barbados",0,0,1,1,2000
"829",71,"Chile",0,0,1,1,2000
"830",71,"Iceland",0,0,1,1,2000
"831",71,"India",0,0,1,1,2000
"832",71,"Israel",0,0,1,1,2000
"833",71,"Kuwait",0,0,1,1,2000
"834",71,"Kyrgyzstan",0,0,1,1,2000
"835",71,"Macedonia",0,0,1,1,2000
"836",71,"Qatar",0,0,1,1,2000
"837",1,"United States",36,39,26,101,2004
"838",2,"China",32,17,14,63,2004
"839",3,"Russia",28,26,36,90,2004
"840",4,"Australia",17,16,17,50,2004
"841",5,"Japan",16,9,12,37,2004
"842",6,"Germany",13,16,20,49,2004
"843",7,"France",11,9,13,33,2004
"844",8,"Italy",10,11,11,32,2004
"845",9,"South Korea",9,12,9,30,2004
"846",10,"Great Britain",9,9,12,30,2004
"847",11,"Cuba",9,7,11,27,2004
"848",12,"Hungary",8,6,3,17,2004
"849",13,"Ukraine",8,5,9,22,2004
"850",14,"Romania",8,5,6,19,2004
"851",15,"Greece",6,6,4,16,2004
"852",16,"Brazil",5,2,3,10,2004
"853",17,"Norway",5,0,1,6,2004
"854",18,"Netherlands",4,9,9,22,2004
"855",19,"Sweden",4,2,1,7,2004
"856",20,"Spain",3,11,6,20,2004
"857",21,"Canada",3,6,3,12,2004
"858",22,"Turkey",3,3,4,10,2004
"859",23,"Poland",3,2,5,10,2004
"860",24,"New Zealand",3,2,0,5,2004
"861",25,"Thailand",3,1,4,8,2004
"862",26,"Belarus",2,5,6,13,2004
"863",27,"Austria",2,4,1,7,2004
"864",28,"Ethiopia",2,3,2,7,2004
"865",29,"Iran",2,2,2,6,2004
"866",29,"Slovakia",2,2,2,6,2004
"867",31,"Chinese Taipei",2,2,1,5,2004
"868",32,"Georgia",2,2,0,4,2004
"869",33,"Bulgaria",2,1,9,12,2004
"870",34,"Denmark",2,1,5,8,2004
"871",35,"Jamaica",2,1,2,5,2004
"872",35,"Uzbekistan",2,1,2,5,2004
"873",37,"Morocco",2,1,0,3,2004
"874",38,"Argentina",2,0,4,6,2004
"875",39,"Chile",2,0,1,3,2004
"876",40,"Kazakhstan",1,4,3,8,2004
"877",41,"Kenya",1,4,2,7,2004
"878",42,"Czech Republic",1,3,5,9,2004
"879",43,"South Africa",1,3,2,6,2004
"880",44,"Croatia",1,2,2,5,2004
"881",45,"Lithuania",1,2,0,3,2004
"882",46,"Egypt",1,1,3,5,2004
"883",46,"Switzerland",1,1,3,5,2004
"884",48,"Indonesia",1,1,2,4,2004
"885",49,"Zimbabwe",1,1,1,3,2004
"886",50,"Azerbaijan",1,0,4,5,2004
"887",51,"Belgium",1,0,2,3,2004
"888",52,"Bahamas",1,0,1,2,2004
"889",52,"Israel",1,0,1,2,2004
"890",54,"Cameroon",1,0,0,1,2004
"891",54,"Dominican Republic",1,0,0,1,2004
"892",54,"United Arab Emirates",1,0,0,1,2004
"893",57,"North Korea",0,4,1,5,2004
"894",58,"Latvia",0,4,0,4,2004
"895",59,"Mexico",0,3,1,4,2004
"896",60,"Portugal",0,2,1,3,2004
"897",61,"Finland",0,2,0,2,2004
"898",61,"Serbia and Montenegro",0,2,0,2,2004
"899",63,"Slovenia",0,1,3,4,2004
"900",64,"Estonia",0,1,2,3,2004
"901",65,"Hong Kong",0,1,0,1,2004
"902",65,"India",0,1,0,1,2004
"903",65,"Paraguay",0,1,0,1,2004
"904",68,"Colombia",0,0,2,2,2004
"905",68,"Nigeria",0,0,2,2,2004
"906",68,"Venezuela",0,0,2,2,2004
"907",71,"Eritrea",0,0,1,1,2004
"908",71,"Mongolia",0,0,1,1,2004
"909",71,"Syria",0,0,1,1,2004
"910",71,"Trinidad and Tobago",0,0,1,1,2004
"911",1,"China",48,22,30,100,2008
"912",2,"United States",36,39,37,112,2008
"913",3,"Russia",24,13,23,60,2008
"914",4,"Great Britain",19,13,19,51,2008
"915",5,"Germany",16,11,14,41,2008
"916",6,"Australia",14,15,17,46,2008
"917",7,"South Korea",13,11,8,32,2008
"918",8,"Japan",9,8,8,25,2008
"919",9,"Italy",8,9,10,27,2008
"920",10,"France",7,16,20,43,2008
"921",11,"Netherlands",7,5,4,16,2008
"922",12,"Ukraine",7,4,11,22,2008
"923",13,"Kenya",6,4,6,16,2008
"924",14,"Spain",5,11,3,19,2008
"925",15,"Jamaica",5,4,2,11,2008
"926",16,"Poland",4,5,2,11,2008
"927",17,"Ethiopia",4,2,1,7,2008
"928",18,"Romania",4,1,4,9,2008
"929",19,"Cuba",3,10,17,30,2008
"930",20,"Canada",3,9,8,20,2008
"931",21,"Hungary",3,5,2,10,2008
"932",22,"Norway",3,5,1,9,2008
"933",23,"Brazil",3,4,10,17,2008
"934",24,"Belarus",3,4,7,14,2008
"935",25,"Czech Republic",3,3,1,7,2008
"936",26,"Slovakia",3,3,0,6,2008
"937",27,"New Zealand",3,2,4,9,2008
"938",28,"Georgia",3,2,2,7,2008
"939",29,"Kazakhstan",2,3,4,9,2008
"940",30,"Denmark",2,2,3,7,2008
"941",31,"North Korea",2,2,2,6,2008
"942",31,"Thailand",2,2,2,6,2008
"943",33,"Mongolia",2,2,0,4,2008
"944",34,"Switzerland",2,1,4,7,2008
"945",35,"Argentina",2,0,4,6,2008
"946",36,"Mexico",2,0,2,4,2008
"947",37,"Belgium",2,0,0,2,2008
"948",38,"Zimbabwe",1,3,0,4,2008
"949",39,"Slovenia",1,2,2,5,2008
"950",40,"Azerbaijan",1,1,4,6,2008
"951",40,"Indonesia",1,1,4,6,2008
"952",42,"Bulgaria",1,1,3,5,2008
"953",42,"Turkey",1,1,3,5,2008
"954",44,"Chinese Taipei",1,1,2,4,2008
"955",44,"Finland",1,1,2,4,2008
"956",46,"Latvia",1,1,1,3,2008
"957",47,"Dominican Republic",1,1,0,2,2008
"958",47,"Estonia",1,1,0,2,2008
"959",47,"Portugal",1,1,0,2,2008
"960",47,"Trinidad and Tobago",1,1,0,2,2008
"961",51,"India",1,0,2,3,2008
"962",52,"Iran",1,0,1,2,2008
"963",53,"Cameroon",1,0,0,1,2008
"964",53,"Panama",1,0,0,1,2008
"965",53,"Tunisia",1,0,0,1,2008
"966",56,"Sweden",0,4,1,5,2008
"967",57,"Lithuania",0,3,2,5,2008
"968",57,"Nigeria",0,3,2,5,2008
"969",59,"Croatia",0,2,3,5,2008
"970",60,"Colombia",0,2,1,3,2008
"971",60,"Greece",0,2,1,3,2008
"972",62,"Armenia",0,1,4,5,2008
"973",63,"Uzbekistan",0,1,3,4,2008
"974",64,"Austria",0,1,2,3,2008
"975",64,"Ireland",0,1,2,3,2008
"976",64,"Kyrgyzstan",0,1,2,3,2008
"977",64,"Serbia",0,1,2,3,2008
"978",68,"Algeria",0,1,1,2,2008
"979",68,"Bahamas",0,1,1,2,2008
"980",68,"Morocco",0,1,1,2,2008
"981",68,"Tajikistan",0,1,1,2,2008
"982",72,"Chile",0,1,0,1,2008
"983",72,"Ecuador",0,1,0,1,2008
"984",72,"Iceland",0,1,0,1,2008
"985",72,"Malaysia",0,1,0,1,2008
"986",72,"Samoa",0,1,0,1,2008
"987",72,"Singapore",0,1,0,1,2008
"988",72,"South Africa",0,1,0,1,2008
"989",72,"Sudan",0,1,0,1,2008
"990",72,"Vietnam",0,1,0,1,2008
"991",81,"Egypt",0,0,2,2,2008
"992",82,"Afghanistan",0,0,1,1,2008
"993",82,"Israel",0,0,1,1,2008
"994",82,"Mauritius",0,0,1,1,2008
"995",82,"Moldova",0,0,1,1,2008
"996",82,"Togo",0,0,1,1,2008
"997",82,"Venezuela",0,0,1,1,2008
"998",1,"United States",48,26,30,104,2012
"999",2,"China",39,31,22,92,2012
"1000",3,"Great Britain",29,18,18,65,2012
"1001",4,"Russia",18,21,26,65,2012
"1002",5,"South Korea",13,9,9,31,2012
"1003",6,"Germany",11,20,13,44,2012
"1004",7,"France",11,11,13,35,2012
"1005",8,"Australia",8,15,12,35,2012
"1006",9,"Italy",8,9,11,28,2012
"1007",10,"Hungary",8,4,6,18,2012
"1008",11,"Japan",7,14,17,38,2012
"1009",12,"Iran",7,5,1,13,2012
"1010",13,"Netherlands",6,6,8,20,2012
"1011",14,"New Zealand",6,2,5,13,2012
"1012",15,"Ukraine",5,4,10,19,2012
"1013",16,"Cuba",5,3,7,15,2012
"1014",17,"Spain",4,10,6,20,2012
"1015",18,"Jamaica",4,5,4,13,2012
"1016",19,"Czech Republic",4,4,3,11,2012
"1017",20,"South Africa",4,1,1,6,2012
"1018",21,"North Korea",4,0,2,6,2012
"1019",22,"Brazil",3,5,9,17,2012
"1020",23,"Kazakhstan",3,2,6,11,2012
"1021",23,"Poland",3,2,6,11,2012
"1022",25,"Ethiopia",3,2,3,8,2012
"1023",26,"Croatia",3,1,2,6,2012
"1024",27,"Canada",2,6,10,18,2012
"1025",28,"Belarus",2,5,3,10,2012
"1026",29,"Kenya",2,4,7,13,2012
"1027",30,"Denmark",2,4,3,9,2012
"1028",31,"Romania",2,4,1,7,2012
"1029",32,"Azerbaijan",2,2,5,9,2012
"1030",33,"Switzerland",2,2,0,4,2012
"1031",34,"Norway",2,1,1,4,2012
"1032",35,"Lithuania",2,0,3,5,2012
"1033",36,"Tunisia",2,0,1,3,2012
"1034",37,"Sweden",1,4,3,8,2012
"1035",38,"Colombia",1,3,5,9,2012
"1036",39,"Mexico",1,3,4,8,2012
"1037",40,"Georgia",1,2,3,6,2012
"1038",41,"Ireland",1,1,4,6,2012
"1039",42,"Argentina",1,1,2,4,2012
"1040",42,"Serbia",1,1,2,4,2012
"1041",42,"Slovenia",1,1,2,4,2012
"1042",42,"Trinidad and Tobago",1,1,2,4,2012
"1043",46,"Turkey",1,1,1,3,2012
"1044",47,"Dominican Republic",1,1,0,2,2012
"1045",48,"Chinese Taipei",1,0,1,2,2012
"1046",48,"Latvia",1,0,1,2,2012
"1047",50,"Algeria",1,0,0,1,2012
"1048",50,"Bahamas",1,0,0,1,2012
"1049",50,"Bahrain",1,0,0,1,2012
"1050",50,"Grenada",1,0,0,1,2012
"1051",50,"Uganda",1,0,0,1,2012
"1052",50,"Venezuela",1,0,0,1,2012
"1053",56,"Egypt",0,3,1,4,2012
"1054",57,"India",0,2,4,6,2012
"1055",58,"Mongolia",0,2,3,5,2012
"1056",59,"Thailand",0,2,2,4,2012
"1057",60,"Bulgaria",0,2,1,3,2012
"1058",60,"Finland",0,2,1,3,2012
"1059",60,"Indonesia",0,2,1,3,2012
"1060",63,"Slovakia",0,1,3,4,2012
"1061",64,"Belgium",0,1,2,3,2012
"1062",65,"Armenia",0,1,1,2,2012
"1063",65,"Estonia",0,1,1,2,2012
"1064",65,"Malaysia",0,1,1,2,2012
"1065",65,"Puerto Rico",0,1,1,2,2012
"1066",65,"Qatar",0,1,1,2,2012
"1067",70,"Botswana",0,1,0,1,2012
"1068",70,"Cyprus",0,1,0,1,2012
"1069",70,"Gabon",0,1,0,1,2012
"1070",70,"Guatemala",0,1,0,1,2012
"1071",70,"Montenegro",0,1,0,1,2012
"1072",70,"Portugal",0,1,0,1,2012
"1073",76,"Uzbekistan",0,0,3,3,2012
"1074",77,"Greece",0,0,2,2,2012
"1075",77,"Singapore",0,0,2,2,2012
"1076",79,"Afghanistan",0,0,1,1,2012
"1077",79,"Cameroon",0,0,1,1,2012
"1078",79,"Hong Kong",0,0,1,1,2012
"1079",79,"Kuwait",0,0,1,1,2012
"1080",79,"Morocco",0,0,1,1,2012
"1081",79,"Saudi Arabia",0,0,1,1,2012
"1082",79,"Tajikistan",0,0,1,1,2012
"1083",79,"Vietnam",0,0,1,1,2012
"1084",1,"United States",46,37,38,121,2016
"1085",2,"Great Britain",27,23,17,67,2016
"1086",3,"China",26,18,26,70,2016
"1087",4,"Russia",19,17,20,56,2016
"1088",5,"Germany",17,10,15,42,2016
"1089",6,"Japan",12,8,21,41,2016
"1090",7,"France",10,18,14,42,2016
"1091",8,"South Korea",9,3,9,21,2016
"1092",9,"Italy",8,12,8,28,2016
"1093",10,"Australia",8,11,10,29,2016
"1094",11,"Netherlands",8,7,4,19,2016
"1095",12,"Hungary",8,3,4,15,2016
"1096",13,"Brazil",7,6,6,19,2016
"1097",14,"Spain",7,4,6,17,2016
"1098",15,"Kenya",6,6,1,13,2016
"1099",16,"Jamaica",6,3,2,11,2016
"1100",17,"Croatia",5,3,2,10,2016
"1101",18,"Cuba",5,2,4,11,2016
"1102",19,"New Zealand",4,9,5,18,2016
"1103",20,"Canada",4,3,15,22,2016
"1104",21,"Uzbekistan",4,2,7,13,2016
"1105",22,"Colombia",3,2,3,8,2016
"1106",23,"Switzerland",3,2,2,7,2016
"1107",24,"Iran",3,1,4,8,2016
"1108",25,"Greece",3,1,2,6,2016
"1109",26,"Argentina",3,1,0,4,2016
"1110",27,"Denmark",2,6,7,15,2016
"1111",28,"Sweden",2,6,3,11,2016
"1112",29,"South Africa",2,6,2,10,2016
"1113",30,"Kazakhstan",2,5,10,17,2016
"1114",31,"Ukraine",2,5,4,11,2016
"1115",32,"Serbia",2,4,2,8,2016
"1116",33,"Poland",2,3,6,11,2016
"1117",34,"North Korea",2,3,2,7,2016
"1118",35,"Belgium",2,2,2,6,2016
"1119",35,"Thailand",2,2,2,6,2016
"1120",37,"Slovakia",2,2,0,4,2016
"1121",38,"Georgia",2,1,4,7,2016
"1122",39,"Azerbaijan",1,7,10,18,2016
"1123",40,"Belarus",1,4,4,9,2016
"1124",41,"Turkey",1,3,4,8,2016
"1125",42,"Armenia",1,3,0,4,2016
"1126",43,"Czech Republic",1,2,7,10,2016
"1127",44,"Ethiopia",1,2,5,8,2016
"1128",45,"Slovenia",1,2,1,4,2016
"1129",46,"Indonesia",1,2,0,3,2016
"1130",47,"Romania",1,1,2,4,2016
"1131",48,"Bahrain",1,1,0,2,2016
"1132",48,"Vietnam",1,1,0,2,2016
"1133",50,"Chinese Taipei",1,0,2,3,2016
"1134",51,"Bahamas",1,0,1,2,2016
"1135",51,"Independent Olympic Athletes",1,0,1,2,2016
"1136",51,"Ivory Coast",1,0,1,2,2016
"1137",54,"Fiji",1,0,0,1,2016
"1138",54,"Jordan",1,0,0,1,2016
"1139",54,"Kosovo",1,0,0,1,2016
"1140",54,"Puerto Rico",1,0,0,1,2016
"1141",54,"Singapore",1,0,0,1,2016
"1142",54,"Tajikistan",1,0,0,1,2016
"1143",60,"Malaysia",0,4,1,5,2016
"1144",61,"Mexico",0,3,2,5,2016
"1145",62,"Venezuela",0,2,1,3,2016
"1146",63,"Algeria",0,2,0,2,2016
"1147",63,"Ireland",0,2,0,2,2016
"1148",65,"Lithuania",0,1,3,4,2016
"1149",66,"Bulgaria",0,1,2,3,2016
"1150",67,"India",0,1,1,2,2016
"1151",67,"Mongolia",0,1,1,2,2016
"1152",69,"Burundi",0,1,0,1,2016
"1153",69,"Grenada",0,1,0,1,2016
"1154",69,"Niger",0,1,0,1,2016
"1155",69,"Philippines",0,1,0,1,2016
"1156",69,"Qatar",0,1,0,1,2016
"1157",74,"Norway",0,0,4,4,2016
"1158",75,"Egypt",0,0,3,3,2016
"1159",75,"Tunisia",0,0,3,3,2016
"1160",77,"Israel",0,0,2,2,2016
"1161",78,"Austria",0,0,1,1,2016
"1162",78,"Dominican Republic",0,0,1,1,2016
"1163",78,"Estonia",0,0,1,1,2016
"1164",78,"Finland",0,0,1,1,2016
"1165",78,"Morocco",0,0,1,1,2016
"1166",78,"Nigeria",0,0,1,1,2016
"1167",78,"Portugal",0,0,1,1,2016
"1168",78,"Trinidad and Tobago",0,0,1,1,2016
"1169",78,"United Arab Emirates",0,0,1,1,2016
"1170",1,"United States",39,41,33,113,2020
"1171",2,"China",38,32,19,89,2020
"1172",3,"Japan",27,14,17,58,2020
"1173",4,"Great Britain",22,20,22,64,2020
"1174",5,"ROC",20,28,23,71,2020
"1175",6,"Australia",17,7,22,46,2020
"1176",7,"Netherlands",10,12,14,36,2020
"1177",8,"France",10,12,11,33,2020
"1178",9,"Germany",10,11,16,37,2020
"1179",10,"Italy",10,10,20,40,2020
"1180",11,"Canada",7,7,10,24,2020
"1181",12,"Brazil",7,6,8,21,2020
"1182",13,"New Zealand",7,6,7,20,2020
"1183",14,"Cuba",7,3,5,15,2020
"1184",15,"Hungary",6,7,7,20,2020
"1185",16,"South Korea",6,4,10,20,2020
"1186",17,"Poland",4,5,5,14,2020
"1187",18,"Czech Republic",4,4,3,11,2020
"1188",19,"Kenya",4,4,2,10,2020
"1189",20,"Norway",4,2,2,8,2020
"1190",21,"Jamaica",4,1,4,9,2020
"1191",22,"Spain",3,8,6,17,2020
"1192",23,"Sweden",3,6,0,9,2020
"1193",24,"Switzerland",3,4,6,13,2020
"1194",25,"Denmark",3,4,4,11,2020
"1195",26,"Croatia",3,3,2,8,2020
"1196",27,"Iran",3,2,2,7,2020
"1197",28,"Serbia",3,1,5,9,2020
"1198",29,"Belgium",3,1,3,7,2020
"1199",30,"Bulgaria",3,1,2,6,2020
"1200",31,"Slovenia",3,1,1,5,2020
"1201",32,"Uzbekistan",3,0,2,5,2020
"1202",33,"Georgia",2,5,1,8,2020
"1203",34,"Chinese Taipei",2,4,6,12,2020
"1204",35,"Turkey",2,2,9,13,2020
"1205",36,"Greece",2,1,1,4,2020
"1206",36,"Uganda",2,1,1,4,2020
"1207",38,"Ecuador",2,1,0,3,2020
"1208",39,"Ireland",2,0,2,4,2020
"1209",39,"Israel",2,0,2,4,2020
"1210",41,"Qatar",2,0,1,3,2020
"1211",42,"Bahamas",2,0,0,2,2020
"1212",42,"Kosovo",2,0,0,2,2020
"1213",44,"Ukraine",1,6,12,19,2020
"1214",45,"Belarus",1,3,3,7,2020
"1215",46,"Romania",1,3,0,4,2020
"1216",46,"Venezuela",1,3,0,4,2020
"1217",48,"India",1,2,4,7,2020
"1218",49,"Hong Kong",1,2,3,6,2020
"1219",50,"Philippines",1,2,1,4,2020
"1220",50,"Slovakia",1,2,1,4,2020
"1221",52,"South Africa",1,2,0,3,2020
"1222",53,"Austria",1,1,5,7,2020
"1223",54,"Egypt",1,1,4,6,2020
"1224",55,"Indonesia",1,1,3,5,2020
"1225",56,"Ethiopia",1,1,2,4,2020
"1226",56,"Portugal",1,1,2,4,2020
"1227",58,"Tunisia",1,1,0,2,2020
"1228",59,"Estonia",1,0,1,2,2020
"1229",59,"Fiji",1,0,1,2,2020
"1230",59,"Latvia",1,0,1,2,2020
"1231",59,"Thailand",1,0,1,2,2020
"1232",63,"Bermuda",1,0,0,1,2020
"1233",63,"Morocco",1,0,0,1,2020
"1234",63,"Puerto Rico",1,0,0,1,2020
"1235",66,"Colombia",0,4,1,5,2020
"1236",67,"Azerbaijan",0,3,4,7,2020
"1237",68,"Dominican Republic",0,3,2,5,2020
"1238",69,"Armenia",0,2,2,4,2020
"1239",70,"Kyrgyzstan",0,2,1,3,2020
"1240",71,"Mongolia",0,1,3,4,2020
"1241",72,"Argentina",0,1,2,3,2020
"1242",72,"San Marino",0,1,2,3,2020
"1243",74,"Jordan",0,1,1,2,2020
"1244",74,"Malaysia",0,1,1,2,2020
